REGION,TYPE,AREA,GENDER,MATH,READING,SCIENCE
NORTH,PUBLIC,URBAN,Male,778.478,643.142,742.298
NORTH,PUBLIC,URBAN,Female,610.15,614.165,600.187
NORTH,PUBLIC,URBAN,Female,697.313,658.805,624.524
NORTH,PUBLIC,URBAN,Female,648.551,627.827,637.206
NORTH,PUBLIC,URBAN,Female,596.129,592.798,568.855
NORTH,PUBLIC,URBAN,Male,676.593,565.513,622.287
NORTH,PUBLIC,URBAN,Female,645.591,645.143,629.187
NORTH,PUBLIC,URBAN,Female,535.294,587.317,594.498
NORTH,PUBLIC,URBAN,Female,693.106,621.155,698.191
NORTH,PUBLIC,URBAN,Female,624.794,595.816,603.077
NORTH,PUBLIC,URBAN,Female,690.77,702.333,679.541
NORTH,PUBLIC,URBAN,Female,665.065,659.44,650.634
NORTH,PUBLIC,URBAN,Male,667.168,675.22,614.267
NORTH,PUBLIC,URBAN,Male,737.272,585.402,717.494
NORTH,PUBLIC,URBAN,Female,691.081,613.529,646.904
NORTH,PUBLIC,URBAN,Female,746.386,609.399,701.921
NORTH,PUBLIC,URBAN,Female,693.496,636.405,642.149
NORTH,PUBLIC,URBAN,Female,667.635,658.567,661.824
NORTH,PUBLIC,URBAN,Male,747.944,652.925,710.127
NORTH,PUBLIC,URBAN,Female,614.044,610.272,566.99
NORTH,PUBLIC,URBAN,Male,741.401,617.319,668.351
NORTH,PUBLIC,URBAN,Male,721.693,675.22,672.734
NORTH,PUBLIC,URBAN,Female,622.768,640.377,564.845
NORTH,PUBLIC,URBAN,Male,735.013,611.224,635.341
NORTH,PUBLIC,URBAN,Female,584.523,579.215,593.1
NORTH,PUBLIC,URBAN,Female,582.809,664.365,609.418
NORTH,PUBLIC,URBAN,Female,647.461,633.228,647.837
NORTH,PUBLIC,URBAN,Female,710.243,609.24,699.124
NORTH,PUBLIC,URBAN,Female,688.121,648.002,641.869
NORTH,PUBLIC,URBAN,Female,660.002,601.535,594.032
CENTRAL,PUBLIC,RURAL,Female,481.235,346.323,459.474
CENTRAL,PUBLIC,RURAL,Female,483.339,412.41,452.014
CENTRAL,PUBLIC,RURAL,Male,486.143,381.627,472.529
CENTRAL,PUBLIC,RURAL,Male,535.761,405.766,426.837
CENTRAL,PUBLIC,RURAL,Male,452.025,402.638,409.4
